"X.1","X","LabID","weighted_mean","long","lat","Material"
469,469,"St 5592",1946.62319157438,17.41,60.01,"charcoal"
517,517,"St-1382",2858.848002838,13.22306,62.77778,"charcoal"
525,525,"St-1976",3997.39225042202,17.11226,63.70401,"collagen bone"
541,541,"St-324",2973.40057923008,14.55177,63.16574,"charcoal"
576,576,"St-5209",1843.67994444463,17.41869,60.01364,"charcoal"
584,584,"St-5591",2007.36273210834,17.41869,60.01364,"charcoal"
586,586,"St-5910",1904.59577121268,17.41869,60.01364,"charcoal"
647,647,"St-898",2634.75669965838,16.4,64.7,"charcoal"
707,707,"Ua 10630",5137.14168503269,17.01,61.7902,"charcoal"
714,714,"Ua 11408",4624.52435285764,16.95,61.5333,"plant macrofossils"
715,715,"Ua 1181",4926.04849513328,17.4615,60.0333,"plant macrofossils"
723,723,"Ua 13623",5647.32676043889,17.1414,60.5753,"food residue"
731,731,"Ua 14470",4451.40052157043,17.6,60.1667,"food residue"
743,743,"Ua 18398",5505.55582010124,14.9,60.1167,"plant macrofossils"
786,786,"Ua 4682",4752.96661817592,17.0333,60.65,""
787,787,"Ua 4897",1544.58483997103,17.3026,61.992,"charcoal"
788,788,"Ua 4918",5226.38541093104,17.0333,60.65,"food residue"
799,799,"Ua 601",5197.91020387899,17.45,60.0333,"food residue"
886,886,"Ua-17207",5770.37691651971,14.9,60.1167,"seed"
890,890,"Ua-18397",5504.52211573129,14.9,60.1167,"seed"
1414,1414,"CAMS-6262",5068.95226622366,19.9486,60.1522,"human bone"
1415,1415,"CAMS-6263",4916.10490693201,19.9486,60.1522,"human bone"
1416,1416,"CAMS-6264",5162.5857252736,19.9486,60.1522,"human bone"
1533,1533,"Hel-1828",1853.09846031655,19.55,60.25,"bone"
1534,1534,"Hel-1845",1864.79877640404,19.55,60.25,"bone"
1945,1945,"Hel-3003",782.064790403805,19.9166666666667,60.1166666666667,"mortar"
1946,1946,"Hel-3004",743.96674539286,19.9166666666667,60.1166666666667,"mortar"
1947,1947,"Hel-3007",892.185300948018,19.9166666666667,60.1166666666667,"mortar"
1948,1948,"Hel-3008",802.316879115459,19.9166666666667,60.1166666666667,"mortar"
2063,2063,"Hel-3313",579.399081472955,20,60.3333333333333,"wood"
2076,2076,"Hel-3326",527.599908125532,20,60.3333333333333,"mortar"
2077,2077,"Hel-3327",700.564521613125,20,60.3333333333333,"mortar"
2078,2078,"Hel-3328",560.124896622998,20,60.3333333333333,"mortar"
2079,2079,"Hel-3329",765.275064778286,20,60.3333333333333,"mortar"
2080,2080,"Hel-3330",636.819136200905,20,60.3333333333333,"mortar"
2081,2081,"Hel-3331",613.963087871713,20,60.3333333333333,"mortar"
2082,2082,"Hel-3332",560.124896622998,20,60.3333333333333,"wood"
2083,2083,"Hel-3333",743.96674539286,20,60.3333333333333,"mortar"
2084,2084,"Hel-3334",670.502632524869,20,60.3333333333333,"mortar"
2085,2085,"Hel-3335",866.364101569163,20,60.3333333333333,"mortar"
2086,2086,"Hel-3336",769.537196719687,20,60.3333333333333,"mortar"
2087,2087,"Hel-3337",652.323936221498,20,60.3333333333333,"mortar"
2088,2088,"Hel-3338",809.058056971941,20,60.3333333333333,"mortar"
2345,2345,"Ua-10687",4827.47365900821,19.9486,60.1522,"animal bone"
2346,2346,"Ua-10688",4228.08190730685,19.9486,60.1522,"animal bone"
2347,2347,"Ua-11465",5003.17555627246,19.9486,60.1522,"animal bone"
2577,2577,"Beta-345280",2513.86806286857,10.012672,61.549097,"Bone"
2970,2970,"Lus-12347",1616.29390906356,11.067106,60.196816,"burned bone"
