"dataset_ID","meantimes","Acer","Adoxa.moschatellina","Anemone","Anemone.nemorosa","Betula","Betula.Corylus.Myrica","Betula.fruticosa","Betula.humilis","Betula.nana","Betula.pendula","Betula.pubescens","Carpinus","Carpinus.betulus","Convallaria","Convallaria.majalis","Cornus","Cornus.mas.C..suecica","Cornus.sanguinea","Cornus.suecica","Corylus","Corylus.avellana","Corylus.Myrica","Fagus","Fagus.sylvatica","Fraxinus","Fraxinus.excelsior","Hedera","Hedera.helix","Ilex","Larix","Lonicera.periclymenum","Mercurialis","Mercurialis.perennis","Micranthes.nivalis","Micranthes.nivalis.M..tenuis","Polygonatum","Polygonatum.verticillatum","Populus","Populus.tremula","Prunus","Prunus.padus","Quercus","Rhamnus","Rhamnus.cathartica","Sanicula","Sorbus","Sorbus.aria","Sorbus.aucuparia","Stachys.sylvatica","Tilia","Tilia.cordata","Ulmus","Ulmus.glabra","Viburnum","Viburnum.opulus","Viscum","Viscum.album"
"12",808.538,"0",NA,NA,NA,"171",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146",NA,"2",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,"3",NA,"10",NA,NA,NA,"0",NA
"12",854.298,"0",NA,NA,NA,"305",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA,"6",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,"27",NA,"12",NA,NA,NA,"0",NA
"12",911.985,"0",NA,NA,NA,"217",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"183",NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,NA,NA,NA,"17",NA,"14",NA,NA,NA,"0",NA
"12",1006.149,"0",NA,NA,NA,"280",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121",NA,"2",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA,NA,NA,NA,NA,NA,NA,"26",NA,"14",NA,NA,NA,"0",NA
"12",1099.197,"0",NA,NA,NA,"152",NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119",NA,"4",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84",NA,NA,NA,NA,NA,NA,NA,"16",NA,"26",NA,NA,NA,"0",NA
"12",1179.283,"0",NA,NA,NA,"186",NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105",NA,"8",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,"17",NA,"8",NA,NA,NA,"0",NA
"12",1231.444,"0",NA,NA,NA,"162",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76",NA,"5",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA,"9",NA,"23",NA,NA,NA,"0",NA
"12",1277.602,"0",NA,NA,NA,"152",NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59",NA,"7",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",NA,NA,NA,NA,NA,NA,NA,"8",NA,"13",NA,NA,NA,"0",NA
"12",1326.128,"0",NA,NA,NA,"210",NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58",NA,"11",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"126",NA,NA,NA,NA,NA,NA,NA,"21",NA,"11",NA,NA,NA,"0",NA
"12",1407.271,"0",NA,NA,NA,"203",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,"2",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,"12",NA,"10",NA,NA,NA,"0",NA
"12",1549.599,"0",NA,NA,NA,"121",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,"2",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,NA,"0",NA
"12",1616.689,"0",NA,NA,NA,"153",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,"8",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,"20",NA,"5",NA,NA,NA,"0",NA
